# ASCII text file containing parameters from LOADEST regression models for water-quality constituents 
# (excluding pesticides) analyzed by the USGS National Stream Quality Accounting Network (1996-2000) 
# File is tab-delimited; missing fields are denoted by a period (.)
# The first header contains column names
# The second header contains column formats
# Basin = Basin code
#            miss = Mississippi Basin
#            riog = Rio Grande Basin
#            colo = Colorado Basin
#            colum = Columbia Basin
# Station = Water-quality station number
# Begin = First water year of model period (September-October)
#   Note that the last water year of model period is always 2000
# Parameter = WATSTORE code
# Model = TRUE where data were sufficient for LOADEST to generate a model; 
#         FALSE where data were insufficient for LOADEST to generate a model
# Convergence obtained when successive parameter estimates differ by less than a given tolerance (see Methods for details)
# Converge = TRUE where data were sufficient for LOADEST model to converge;
#            FALSE where data were insufficient for LOADEST model to converge
# N obs = Total number of observations
# N detects = Number of uncensored values
# Mean = Mean load for model period, in pounds per day
# Std = Standard deviation for model period, in pounds per day
# Remaining columns contain parameters as appropriate for regression models from LOADEST
# Units for flow = cubic feet per second
# Flow coefficients relate to median-centered flow, to reduct multicolinearity of flow and squared flow terms
# Median flow is calculated for each solute, based on flow values for days where there is a non-missing concentration
# The median-centered flow is then calculated by:  ln(mean daily flow) minus ln(median flow)
# Note that, because of missing values for individual solutes, the median flow may vary by solute for the same station
# Dectime defined as fractional calendar year minus 1995, i.e. normalized to 1995
#
Basin	Station	Begin	Parameter	Model	Converge	N obs	N detects	Mean	Std	Intercept	ln(flow)	ln(flow)**2	sin(dectime*2*pi)	cos(dectime*2*pi)	dectime
miss	03303280	1996	01040	TRUE	TRUE	50	46	1300	70	7.0329	0.97922	0	-0.29107	-0.057812	0.067915
miss	03303280	1996	01046	TRUE	TRUE	65	36	13000	1500	9.3601	1.4431	0	0.42709	0.41167	-0.26493
miss	03303280	1996	01049	FALSE	FALSE	50	0	.	.	.	.	.	.	.	.
miss	03303280	1996	01056	TRUE	TRUE	50	41	3500	460	7.7016	0.87018	0	0.10144	0.65599	0
miss	03303280	1996	01060	TRUE	TRUE	50	46	1400	100	6.9603	0.70332	0	-0.32132	0.020945	0.14382
miss	03303280	1996	01065	TRUE	TRUE	50	47	1300	55	7.0126	1.0026	0.13068	0	0	0
miss	03303280	1996	01075	FALSE	FALSE	50	0	.	.	.	.	.	.	.	.
miss	03303280	1996	01080	TRUE	TRUE	65	65	130000	3100	11.857	0.76289	-0.048781	0	0	0
miss	03303280	1996	01085	FALSE	FALSE	65	0	.	.	.	.	.	.	.	.
miss	03303280	1996	01095	FALSE	FALSE	49	1	.	.	.	.	.	.	.	.
miss	03303280	1996	01106	TRUE	TRUE	50	50	6800	350	8.9758	1.1268	0.059536	0.092118	-0.15333	-0.097757
miss	03303280	1996	01130	TRUE	TRUE	65	50	4000	210	8.1755	0.78393	0	-0.14727	0.090463	0.031073
miss	03303280	1996	01145	FALSE	FALSE	65	3	.	.	.	.	.	.	.	.
miss	03303280	1996	22703	FALSE	FALSE	49	0	.	.	.	.	.	.	.	.
miss	03303280	1996	29801	TRUE	TRUE	64	64	55000000	4200000	17.774	0.84639	0	0	0	0
miss	03303280	1996	39086	TRUE	TRUE	62	62	46000000	1300000	17.782	0.85935	0	0	0	-0.049654
miss	03303280	1996	70300	TRUE	TRUE	65	65	140000000	3800000	18.686	0.82748	-0.026103	-0.059953	0.091064	0.034925
miss	03303280	1996	80154	TRUE	TRUE	62	62	180000000	59000000	16.88	2.7424	0.39182	-0.28327	-0.23112	0
miss	03378500	1997	00452	FALSE	FALSE	0	0	.	.	.	.	.	.	.	.
miss	03378500	1997	00453	TRUE	TRUE	49	49	25000000	760000	17.156	0.79054	0	0.068409	-0.093966	0
miss	03378500	1997	00608	TRUE	TRUE	52	24	7900	1200	8.9044	1.288	0	-0.12247	0.31272	-0.12073
miss	03378500	1997	00613	TRUE	TRUE	52	42	4800	550	8.2078	1.4553	0	-0.28353	-0.22498	0
miss	03378500	1997	00623	TRUE	TRUE	52	49	64000	3000	10.757	1.1619	0	0	0	0.11529
miss	03378500	1997	00625	TRUE	TRUE	52	52	160000	7100	11.767	0.99917	0.056115	0	0	0.085111
miss	03378500	1997	00631	TRUE	TRUE	52	50	660000	87000	13.249	1.4122	-0.38005	0.30349	0.25722	0
miss	03378500	1997	00665	TRUE	TRUE	52	52	44000	3100	10.052	1.4331	0	-0.15112	0.24487	0.2155
miss	03378500	1997	00666	TRUE	TRUE	52	48	13000	1300	8.7324	1.7952	-0.18415	-0.53229	0.41637	0.2746
miss	03378500	1997	00671	TRUE	TRUE	52	48	18000	3300	9.3702	2.1545	-0.49338	-0.50732	0.70723	0
miss	03378500	1997	00915	TRUE	TRUE	52	52	8100000	160000	16.177	0.7828	-0.083896	0.063318	0.043001	-0.029341
miss	03378500	1997	00925	TRUE	TRUE	52	52	2500000	51000	15.025	0.65827	-0.042959	0.082979	-0.023513	-0.04446
miss	03378500	1997	00930	TRUE	TRUE	52	52	2100000	45000	14.673	0.45935	0	0.088668	0.11707	0
miss	03378500	1997	00935	TRUE	TRUE	52	52	550000	14000	13.218	1.1275	0	-0.26178	0.069745	0.054781
miss	03378500	1997	00940	TRUE	TRUE	52	52	3500000	67000	15.186	0.57128	0	0.12746	0.10644	0
miss	03378500	1997	00945	TRUE	TRUE	52	52	6900000	130000	16.002	0.55105	-0.053725	0.15559	0.080929	-0.031649
miss	03378500	1997	00950	TRUE	TRUE	52	52	30000	710	10.439	0.87239	0	0	0	0
miss	03378500	1997	00955	TRUE	TRUE	52	52	1000000	92000	14.019	1.7561	-0.51002	-0.42501	0.29744	0
miss	03378500	1997	01000	TRUE	TRUE	52	29	190	9	5.0702	1.0014	-0.075076	-0.21319	0.01509	0.13121
miss	03378500	1997	01005	TRUE	TRUE	40	40	6700	110	9.0666	0.8344	-0.029043	0.011081	-0.040128	0
miss	03378500	1997	01010	FALSE	FALSE	40	0	.	.	.	.	.	.	.	.
miss	03378500	1997	01020	TRUE	TRUE	52	52	9500	200	9.1444	0.55028	0	-0.13473	-0.031278	0.076293
miss	03378500	1997	01025	FALSE	FALSE	40	0	.	.	.	.	.	.	.	.
miss	03378500	1997	01030	TRUE	TRUE	40	31	300	26	6.3951	0.91555	0	0	0	-0.28058
miss	03378500	1997	01035	FALSE	FALSE	40	0	.	.	.	.	.	.	.	.
miss	03378500	1997	01040	TRUE	TRUE	40	39	270	10	5.7996	1.0701	0	-0.16555	-0.14622	0
miss	03378500	1997	01046	TRUE	TRUE	52	20	1800	230	6.8592	1.523	0	-0.23818	0.48145	0.16889
miss	03378500	1997	01049	FALSE	FALSE	40	0	.	.	.	.	.	.	.	.
miss	03378500	1997	01056	TRUE	TRUE	40	27	420	63	6.2756	0.97132	0	0.11294	0.57972	-0.13599
miss	03378500	1997	01060	TRUE	TRUE	40	40	480	15	6.4079	0.51982	0	-0.094785	-0.076905	0
miss	03378500	1997	01065	TRUE	TRUE	40	38	300	16	5.6476	0.91162	0	-0.11375	0.099358	0.11895
miss	03378500	1997	01075	FALSE	FALSE	40	0	.	.	.	.	.	.	.	.
miss	03378500	1997	01080	TRUE	TRUE	52	52	25000	670	10.369	0.65334	-0.089088	0.010094	0.091124	0
miss	03378500	1997	01085	FALSE	FALSE	52	0	.	.	.	.	.	.	.	.
miss	03378500	1997	01095	FALSE	FALSE	40	0	.	.	.	.	.	.	.	.
miss	03378500	1997	01106	TRUE	TRUE	40	40	780	58	6.989	1.0065	0	0.14037	-0.24142	-0.11172
miss	03378500	1997	01130	TRUE	TRUE	52	28	670	84	6.5849	0.80552	0	0	0	0
miss	03378500	1997	01145	TRUE	TRUE	52	8	150	19	4.5865	0.85178	-0.14805	0	0	0.22816
miss	03378500	1997	22703	TRUE	TRUE	40	15	160	8	5.3128	0.85749	0	0.10139	0.020877	-0.030596
miss	03378500	1997	29801	TRUE	TRUE	52	52	22000000	530000	17.152	0.73418	-0.044624	0.12193	0.02029	-0.042358
miss	03378500	1997	39086	TRUE	TRUE	50	50	20000000	590000	16.968	0.77051	0	0.077542	-0.1121	0
miss	03378500	1997	70300	TRUE	TRUE	52	52	43000000	710000	17.759	0.74873	-0.060083	0.034501	0.041686	0
miss	03378500	1997	80154	TRUE	TRUE	51	51	25000000	2000000	16.566	1.5014	-0.2148	0	0	0.14192
miss	03609750	1997	00452	FALSE	FALSE	0	0	.	.	.	.	.	.	.	.
miss	03609750	1997	00453	TRUE	TRUE	48	48	19000000	550000	16.415	1.0097	0	0.021145	0.13093	0.031734
miss	03609750	1997	00608	TRUE	TRUE	50	35	15000	1300	8.9579	1.1032	0	0	0	0
miss	03609750	1997	00613	TRUE	TRUE	50	25	4700	530	8.4224	1.1853	-0.20031	-0.2292	-0.057016	-0.13199
miss	03609750	1997	00623	TRUE	TRUE	50	37	57000	4200	10.51	0.94896	0	0	0	0.060575
miss	03609750	1997	00625	TRUE	TRUE	50	47	85000	2800	10.847	0.96423	0	-0.0095684	-0.17682	0.092305
miss	03609750	1997	00631	TRUE	TRUE	50	47	130000	8500	10.781	1.3343	0	0.48632	0.6281	0
miss	03609750	1997	00665	TRUE	TRUE	50	49	20000	1600	8.861	1.3897	0	-0.083133	0.21302	0.18417
miss	03609750	1997	00666	TRUE	TRUE	50	39	8700	600	7.6866	1.3089	0	-0.3125	0.54606	0.30347
miss	03609750	1997	00671	TRUE	TRUE	50	48	12000	1800	8.3046	1.6182	0	-0.42523	0.60707	0
miss	03609750	1997	00915	TRUE	TRUE	50	50	5900000	150000	15.263	0.97538	0	0.14867	0.12096	0
miss	03609750	1997	00925	TRUE	TRUE	50	50	1100000	22000	13.597	0.93436	0	-0.12027	0.12319	0.030568
miss	03609750	1997	00930	TRUE	TRUE	50	50	1900000	49000	13.85	0.87674	0	-0.23234	0.20394	0.15158
miss	03609750	1997	00935	TRUE	TRUE	50	50	500000	7100	12.836	0.98225	0	-0.12887	0.047227	0.017252
miss	03609750	1997	00940	TRUE	TRUE	50	50	2200000	56000	14.028	0.85968	0	-0.20283	0.14953	0.144
miss	03609750	1997	00945	TRUE	TRUE	50	50	3400000	68000	14.582	0.96423	-0.051805	-0.04549	0.15906	0.092577
miss	03609750	1997	00950	FALSE	FALSE	50	6	.	.	.	.	.	.	.	.
miss	03609750	1997	00955	TRUE	TRUE	50	50	1300000	82000	13.623	1.2897	0	-0.4085	0.31217	0
miss	03609750	1997	01000	TRUE	TRUE	50	19	350	10	5.3822	0.94129	0	0	0	0.063891
miss	03609750	1997	01005	TRUE	TRUE	34	34	6000	79	8.5702	1.0003	0	-0.061872	0.018412	0.032989
miss	03609750	1997	01010	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01020	TRUE	TRUE	50	40	5800	210	8.1839	0.89882	0	-0.22476	0.044318	0.10621
miss	03609750	1997	01025	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01030	TRUE	TRUE	34	9	440	40	5.7111	1.1741	0	0	0	0
miss	03609750	1997	01035	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01040	TRUE	TRUE	34	8	330	23	5.7044	1.183	-0.1758	0	0	0
miss	03609750	1997	01046	TRUE	TRUE	50	28	4400	600	7.5696	1.1426	0	0.24382	0.4342	0
miss	03609750	1997	01049	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01056	TRUE	TRUE	34	17	710	74	6.0871	0.93176	0	0.12323	0.39951	0
miss	03609750	1997	01060	TRUE	FALSE	34	9	300	21	5.3485	1.011	0	-0.30265	0.089692	0.1274
miss	03609750	1997	01065	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01075	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01080	TRUE	TRUE	50	50	18000	350	9.4783	0.93821	0	-0.00010115	0.061573	0.028833
miss	03609750	1997	01085	FALSE	FALSE	50	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01095	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	01106	TRUE	TRUE	34	34	1600	210	7.2303	1.0668	0	-0.24022	0.25524	0
miss	03609750	1997	01130	FALSE	FALSE	50	5	.	.	.	.	.	.	.	.
miss	03609750	1997	01145	FALSE	FALSE	50	1	.	.	.	.	.	.	.	.
miss	03609750	1997	22703	FALSE	FALSE	34	0	.	.	.	.	.	.	.	.
miss	03609750	1997	29801	TRUE	TRUE	50	50	17000000	370000	16.363	0.96351	0	0.092367	0.12241	0
miss	03609750	1997	39086	TRUE	TRUE	47	47	16000000	450000	16.214	1.0087	0	0.015351	0.13661	0.033103
miss	03609750	1997	70300	TRUE	TRUE	50	50	29000000	500000	16.828	0.95799	0	0.0083235	0.12824	0.031563
miss	03609750	1997	80154	TRUE	TRUE	49	49	3800000	420000	13.812	1.6849	0	-0.07369	-0.24424	0.2095
miss	03612500	1996	00452	FALSE	FALSE	0	0	.	.	.	.	.	.	.	.
miss	03612500	1996	00453	TRUE	TRUE	57	57	140000000	2000000	18.803	0.90679	-0.093748	0.045771	-0.053836	-0.022213
miss	03612500	1996	00608	TRUE	TRUE	62	40	81000	7600	10.816	0.82486	0	0.037734	0.48196	0
miss	03612500	1996	00613	TRUE	TRUE	62	59	33000	2700	10.201	1.069	0	-0.23016	-0.25021	0
miss	03612500	1996	00623	TRUE	TRUE	62	52	410000	14000	12.629	1.0158	0	0	0	0.034905
miss	03612500	1996	00625	TRUE	TRUE	62	62	870000	53000	13.116	1.2626	0.10749	0	0	0.071761
miss	03612500	1996	00631	TRUE	TRUE	62	62	2000000	97000	14.109	1.1307	0	0.35684	-0.1443	0
miss	03612500	1996	00665	TRUE	TRUE	62	62	280000	17000	11.563	1.8541	0	-0.20791	0.064688	0.149
miss	03612500	1996	00666	TRUE	TRUE	62	57	59000	4100	10.222	1.1514	0	-0.23868	0.17684	0.1584
miss	03612500	1996	00671	TRUE	TRUE	62	62	63000	6300	10.901	1.3396	-0.24465	-0.26914	-0.09674	0
miss	03612500	1996	00915	TRUE	TRUE	62	62	51000000	780000	17.729	0.93531	-0.081812	0.10411	-0.029792	-0.023587
miss	03612500	1996	00925	TRUE	TRUE	62	62	13000000	280000	16.301	0.84834	-0.077312	0.084778	-0.023312	0
miss	03612500	1996	00930	TRUE	TRUE	62	62	18000000	740000	16.396	0.7269	0	0.025714	0.28001	0.067505
miss	03612500	1996	00935	TRUE	TRUE	62	62	3800000	76000	14.974	1.093	0	-0.21797	-0.023411	0.028795
miss	03612500	1996	00940	TRUE	TRUE	62	62	23000000	970000	16.624	0.76671	0	0.10174	0.23815	0.062179
miss	03612500	1996	00945	TRUE	TRUE	62	62	60000000	2200000	17.811	0.80012	-0.083325	0.16626	0.11478	0
miss	03612500	1996	00950	TRUE	TRUE	62	56	220000	7700	12.163	0.89604	0	0	0	0
miss	03612500	1996	00955	TRUE	TRUE	62	62	7600000	230000	15.688	1.3584	-0.20461	-0.11266	0.1082	0
miss	03612500	1996	01000	TRUE	TRUE	62	19	1700	57	7.0556	0.91862	0.061975	0	0	0.064865
miss	03612500	1996	01005	TRUE	TRUE	47	47	49000	850	10.767	0.93258	0	0.015018	-0.05644	0
miss	03612500	1996	01010	FALSE	FALSE	47	0	.	.	.	.	.	.	.	.
miss	03612500	1996	01020	TRUE	TRUE	59	59	54000	2400	10.683	0.81299	0	-0.20817	0.007426	0.055994
miss	03612500	1996	01025	FALSE	FALSE	47	0	.	.	.	.	.	.	.	.
miss	03612500	1996	01030	TRUE	TRUE	47	20	2500	190	7.493	1.0564	0	0	0	0
miss	03612500	1996	01035	FALSE	FALSE	47	0	.	.	.	.	.	.	.	.
miss	03612500	1996	01040	TRUE	TRUE	47	42	2400	96	7.7278	1.1154	0	-0.18809	-0.10339	0
miss	03612500	1996	01046	TRUE	TRUE	62	33	22000	2200	9.1855	0.98451	0.28154	0.47771	0.5564	0
miss	03612500	1996	01049	FALSE	FALSE	47	0	.	.	.	.	.	.	.	.
miss	03612500	1996	01056	TRUE	TRUE	47	28	5400	1000	7.8201	0.82787	0.26821	0.33104	0.74875	0
miss	03612500	1996	01060	TRUE	TRUE	47	41	2600	110	7.6362	0.7704	0	-0.24028	-0.01845	0.091502
miss	03612500	1996	01065	TRUE	TRUE	47	33	2300	120	7.4621	1.0877	0	0	0	0.037296
miss	03612500	1996	01075	FALSE	FALSE	47	0	.	.	.	.	.	.	.	.
miss	03612500	1996	01080	TRUE	TRUE	62	62	220000	4600	12.244	0.93376	-0.074059	0	0	0
miss	03612500	1996	01085	FALSE	FALSE	62	0	.	.	.	.	.	.	.	.
miss	03612500	1996	01095	FALSE	FALSE	46	0	.	.	.	.	.	.	.	.
miss	03612500	1996	01106	TRUE	TRUE	47	46	11000	440	9.165	1.1603	0	0	0	0
miss	03612500	1996	01130	TRUE	TRUE	62	26	7400	410	8.6972	0.96549	0	0	0	0
miss	03612500	1996	01145	FALSE	FALSE	62	2	.	.	.	.	.	.	.	.
miss	03612500	1996	22703	FALSE	FALSE	46	0	.	.	.	.	.	.	.	.
miss	03612500	1996	29801	TRUE	TRUE	61	61	120000000	1600000	18.676	0.8999	-0.079536	0.071094	-0.054651	-0.029655
miss	03612500	1996	39086	TRUE	TRUE	58	58	120000000	1600000	18.616	0.90714	-0.09345	0.040081	-0.056844	-0.018749
miss	03612500	1996	70300	TRUE	TRUE	62	62	280000000	6100000	19.357	0.89396	-0.068266	0.072344	0.034932	0
miss	03612500	1996	80154	TRUE	TRUE	61	61	170000000	16000000	17.671	2.5787	-0.31016	-0.46544	-0.058827	0.16853
miss	05330000	1996	00452	FALSE	FALSE	5	5	.	.	.	.	.	.	.	.
miss	05330000	1996	00453	TRUE	TRUE	40	40	9800000	250000	16.193	0.8675	-0.040005	0.037041	0.084432	0
miss	05330000	1996	00608	TRUE	TRUE	40	29	4700	800	7.5718	0.89629	0	0.94696	0.66903	0
miss	05330000	1996	00613	TRUE	TRUE	40	37	1600	190	6.9883	1.3082	0	0	0	0
miss	05330000	1996	00623	TRUE	TRUE	40	40	25000	1100	10.126	1.1046	-0.068324	0.15337	0.18332	0
miss	05330000	1996	00625	TRUE	TRUE	40	40	48000	2200	10.657	1.041	0	-0.031203	-0.21308	0
miss	05330000	1996	00631	TRUE	TRUE	40	39	290000	56000	11.608	1.8003	-0.45333	0.074236	0.60138	0.27996
miss	05330000	1996	00665	TRUE	TRUE	40	40	9500	950	8.8624	1.2596	0	0	0	0
miss	05330000	1996	00666	TRUE	TRUE	40	37	4000	600	7.8547	1.3865	0	0.035234	0.49591	0
miss	05330000	1996	00671	TRUE	TRUE	40	37	3600	430	7.8543	1.2586	0	0.020046	0.42761	0
miss	05330000	1996	00915	TRUE	TRUE	40	40	3100000	91000	15.042	0.94142	-0.056183	0.044944	0.13265	0
