SID	ASSAYABLE	IDENTIFILERREMARKS	COMPLETION
NA17166	TRUE		  100.00
NA12841	TRUE		  100.00
NA19161	TRUE		  100.00
NA19160	TRUE		  100.00
NA18861	TRUE		  100.00
NA18860	TRUE		  100.00
NA18863	TRUE		  100.00
NA18862	TRUE		  100.00
NA19119	TRUE		  100.00
NA19116	TRUE		  100.00
NA07348	TRUE		  100.00
NA07349	TRUE		  100.00
NA07345	TRUE		  100.00
NA17391	TRUE		  100.00
NA17167	TRUE		  100.00
NA19206	TRUE		  100.00
NA19207	TRUE		  100.00
NA19204	TRUE		  100.00
NA19205	TRUE		  100.00
NA19202	TRUE		  100.00
NA19203	TRUE		  100.00
NA19200	TRUE		  100.00
NA19201	TRUE		  100.00
NA18971	TRUE		    0.00
NA19208	TRUE		  100.00
NA19209	TRUE		  100.00
NA10851	TRUE		  100.00
NA06994	TRUE		  100.00
NA10854	TRUE		  100.00
NA06993	TRUE		  100.00
NA06990	TRUE		  100.00
NA06991	TRUE		  100.00
NA10858	TRUE		  100.00
NA10859	TRUE		  100.00
NA18545	TRUE		  100.00
NA18542	TRUE		  100.00
NA18540	TRUE		  100.00
NA13607	TRUE		  100.00
NA13608	TRUE		  100.00
NA13609	TRUE		   90.00
NA17040	TRUE		  100.00
NA07000	TRUE		  100.00
NA13619	TRUE		  100.00
NA10493	TRUE		  100.00
NA17389	TRUE		  100.00
NA17388	TRUE		  100.00
NA10470	TRUE		  100.00
NA17387	TRUE		  100.00
NA18942	TRUE		  100.00
NA18943	TRUE		  100.00
NA18940	TRUE		  100.00
NA18947	TRUE		  100.00
NA18944	TRUE		  100.00
NA18945	TRUE		  100.00
NA18948	TRUE		  100.00
NA18949	TRUE		  100.00
NA12814	TRUE		  100.00
NA12815	TRUE		  100.00
NA12812	TRUE		   90.00
NA12813	TRUE		  100.00
NA07048	TRUE		  100.00
NA19239	TRUE		  100.00
NA19238	TRUE		  100.00
NA17316	TRUE		  100.00
NA17317	TRUE		  100.00
NA17314	TRUE		  100.00
NA17315	TRUE		  100.00
NA17312	TRUE		  100.00
NA17313	TRUE		  100.00
NA17311	TRUE		  100.00
NA19120	TRUE		  100.00
NA19127	TRUE		  100.00
NA19240	TRUE		  100.00
NA19128	TRUE		  100.00
NA10469	TRUE		  100.00
NA18612	TRUE		  100.00
NA18611	TRUE		  100.00
NA18594	TRUE		  100.00
NA18593	TRUE		  100.00
NA18592	TRUE		  100.00
NA18577	TRUE		  100.00
NA18576	TRUE		  100.00
NA18573	TRUE		  100.00
NA18572	TRUE		  100.00
NA18571	TRUE		  100.00
NA18570	TRUE		  100.00
NA18579	TRUE		  100.00
NA18502	TRUE		  100.00
NA18503	TRUE		  100.00
NA18500	TRUE		  100.00
NA18501	TRUE		  100.00
NA18506	TRUE		  100.00
NA18507	TRUE		  100.00
NA18504	TRUE		  100.00
NA18505	TRUE		  100.00
NA18508	TRUE		  100.00
NA18987	TRUE		    0.00
NA17172	TRUE		  100.00
NA18980	TRUE		    0.00
NA18981	TRUE		    0.00
NA07055	TRUE		  100.00
NA07056	TRUE		  100.00
NA07057	TRUE		  100.00
NA17078	TRUE		  100.00
NA17077	TRUE		  100.00
NA17076	TRUE		  100.00
NA17075	TRUE		  100.00
NA17074	TRUE		  100.00
NA17073	TRUE		  100.00
NA17072	TRUE		  100.00
NA17071	TRUE		  100.00
NA18561	TRUE		  100.00
NA11525	TRUE		  100.00
NA11524	TRUE		  100.00
NA11523	TRUE		   90.00
NA11522	TRUE		   90.00
NA11521	TRUE		  100.00
NA18563	TRUE		  100.00
NA12264	TRUE		  100.00
NA12912	TRUE		  100.00
NA12911	TRUE		  100.00
NA19171	TRUE		  100.00
NA19172	TRUE		  100.00
NA19173	TRUE		  100.00
NA18872	TRUE		  100.00
NA18870	TRUE		  100.00
NA18871	TRUE		  100.00
NA18978	TRUE		    0.00
NA18973	TRUE		    0.00
NA18972	TRUE		    0.00
NA10830	TRUE		  100.00
NA18970	TRUE		   90.00
NA18976	TRUE		    0.00
NA18975	TRUE		    0.00
NA18974	TRUE		    0.00
NA12760	TRUE		  100.00
NA12761	TRUE		  100.00
NA12762	TRUE		  100.00
NA12763	TRUE		  100.00
NA19005	TRUE		  100.00
NA19007	TRUE		  100.00
NA19000	TRUE		  100.00
NA19003	TRUE		  100.00
NA18532	TRUE		  100.00
NA10861	TRUE		  100.00
NA10860	TRUE		  100.00
NA10863	TRUE		  100.00
NA11840	TRUE		  100.00
NA19129	TRUE		  100.00
NA12003	TRUE		  100.00
NA12005	TRUE		  100.00
NA12004	TRUE		  100.00
NA12006	TRUE		  100.00
NA19099	TRUE		  100.00
NA19098	TRUE		  100.00
NA19094	TRUE		  100.00
NA18623	TRUE		  100.00
NA18622	TRUE		  100.00
NA18621	TRUE		  100.00
NA18620	TRUE		  100.00
NA17033	TRUE		  100.00
NA17032	TRUE		  100.00
NA17030	TRUE		  100.00
NA17037	TRUE		  100.00
NA17036	TRUE		  100.00
NA17035	TRUE		  100.00
NA17034	TRUE		  100.00
NA17039	TRUE		   90.00
NA17038	TRUE		  100.00
NA07019	TRUE		  100.00
NA12892	TRUE		  100.00
NA12863	TRUE		  100.00
NA12865	TRUE		  100.00
NA12864	TRUE		  100.00
NA19221	TRUE		   90.00
NA19222	TRUE		  100.00
NA19223	TRUE		  100.00
NA18537	TRUE		  100.00
NA19130	TRUE		  100.00
NA19131	TRUE		  100.00
NA19132	TRUE		  100.00
NA19137	TRUE		  100.00
NA19138	TRUE		  100.00
NA19139	TRUE		  100.00
NA11881	TRUE		  100.00
NA11882	TRUE		  100.00
NA12044	TRUE		  100.00
NA10472	TRUE		  100.00
NA10473	TRUE		  100.00
NA12043	TRUE		  100.00
NA18624	TRUE		  100.00
NA18582	TRUE		  100.00
NA19093	TRUE		  100.00
NA19092	TRUE		  100.00
NA12717	TRUE		  100.00
NA12716	TRUE		  100.00
NA18564	TRUE		  100.00
NA18566	TRUE		  100.00
NA10835	TRUE		   90.00
NA10832	TRUE		  100.00
NA10833	TRUE		  100.00
NA18562	TRUE		   90.00
NA10831	TRUE		  100.00
NA10838	TRUE		  100.00
NA10839	TRUE		  100.00
NA11831	TRUE		  100.00
NA11830	TRUE		  100.00
NA11832	TRUE		  100.00
NA11839	TRUE		  100.00
NA17068	TRUE		  100.00
NA12273	TRUE		  100.00
NA17064	TRUE		  100.00
NA17065	TRUE		  100.00
NA17066	TRUE		  100.00
NA17067	TRUE		  100.00
NA17060	TRUE		  100.00
NA17061	TRUE		  100.00
NA17062	TRUE		  100.00
NA17063	TRUE		  100.00
NA12909	TRUE		  100.00
NA19141	TRUE		  100.00
NA19140	TRUE		  100.00
NA19143	TRUE		  100.00
NA19142	TRUE		  100.00
NA19145	TRUE		  100.00
NA19144	TRUE		  100.00
NA18968	TRUE		    0.00
NA18969	TRUE		    0.00
NA18960	TRUE		   90.00
NA18961	TRUE		  100.00
NA18964	TRUE		  100.00
NA18965	TRUE		   80.00
NA18966	TRUE		  100.00
NA18967	TRUE		   80.00
NA11992	TRUE		  100.00
NA11993	TRUE		  100.00
NA11994	TRUE		  100.00
NA11995	TRUE		  100.00
NA12751	TRUE		  100.00
NA12750	TRUE		  100.00
NA12753	TRUE		  100.00
NA12752	TRUE		  100.00
NA18529	TRUE		  100.00
NA18521	TRUE		  100.00
NA18522	TRUE		  100.00
NA18523	TRUE		  100.00
NA18524	TRUE		  100.00
NA18526	TRUE		  100.00
NA19012	TRUE		  100.00
NA12156	TRUE		  100.00
NA12155	TRUE		  100.00
NA12154	TRUE		   90.00
NA10856	TRUE		  100.00
NA10857	TRUE		  100.00
NA18547	TRUE		  100.00
NA18635	TRUE		  100.00
NA18636	TRUE		  100.00
NA18637	TRUE		  100.00
NA18632	TRUE		  100.00
NA18633	TRUE		  100.00
NA17020	TRUE		  100.00
NA07022	TRUE		  100.00
NA17028	TRUE		  100.00
NA17029	TRUE		  100.00
NA07029	TRUE		  100.00
NA12239	TRUE		  100.00
NA12234	TRUE		  100.00
NA10855	TRUE		  100.00
NA17158	TRUE		  100.00
NA12249	TRUE		  100.00
NA12248	TRUE		  100.00
NA12872	TRUE		  100.00
NA12873	TRUE		  100.00
NA12874	TRUE		  100.00
NA12875	TRUE		  100.00
NA12878	TRUE		  100.00
NA19192	TRUE		  100.00
NA19193	TRUE		  100.00
NA19194	TRUE		  100.00
NA19211	TRUE		  100.00
NA19210	TRUE		  100.00
NA18858	TRUE		  100.00
NA18859	TRUE		  100.00
NA18913	TRUE		  100.00
NA18912	TRUE		  100.00
NA18914	TRUE		  100.00
NA18852	TRUE		  100.00
NA18853	TRUE		  100.00
NA18854	TRUE		  100.00
NA18855	TRUE		  100.00
NA18856	TRUE		  100.00
NA18857	TRUE		  100.00
NA19101	TRUE		  100.00
NA19100	TRUE		  100.00
NA19103	TRUE		  100.00
NA19102	TRUE		  100.00
